Qual é o maior planeta do sistema solar?|Júpiter|Terra|Saturno|Marte
Quem pintou a Mona Lisa?|Leonardo da Vinci|Michelangelo|Van Gogh|Picasso
Em que ano o homem pisou na Lua pela primeira vez?|1969|1965|1970|1968
Qual é a capital do Brasil?|Brasília|Rio de Janeiro|São Paulo|Salvador
Qual é o elemento químico com símbolo 'O'?|Oxigênio|Ouro|Zinco|Prata
Quem escreveu "Dom Quixote"?|Miguel de Cervantes|Shakespeare|Machado de Assis|Victor Hugo
Qual é o rio mais longo do mundo?|Nilo|Amazonas|Yangtzé|Mississippi
Qual é a fórmula da água?|H2O|CO2|O2|H2
Quantos lados tem um hexágono?|6|5|7|8
Quem desenvolveu a Teoria da Relatividade?|Albert Einstein|Isaac Newton|Galileu Galilei|Nikola Tesla
Quantos continentes existem?|7|5|6|8
Qual é o país com a maior população do mundo?|China|Índia|EUA|Indonésia
Qual é a moeda oficial do Japão?|Iene|Dólar|Euro|Yuan
Quantos planetas existem no sistema solar?|8|7|9|10
Quem é conhecido como o "Pai da Computação"?|Alan Turing|Charles Babbage|Ada Lovelace|John von Neumann
Qual é o idioma mais falado no mundo?|Mandarim|Inglês|Espanhol|Árabe
Qual é o maior oceano do mundo?|Pacífico|Atlântico|Índico|Ártico
Qual é a montanha mais alta do mundo?|Monte Everest|K2|Kilimanjaro|Mont Blanc
Quem descobriu o Brasil?|Pedro Álvares Cabral|Cristóvão Colombo|Américo Vespúcio|Vasco da Gama
Em que continente está o Egito?|África|Ásia|Europa|América
Qual é o símbolo químico do ferro?|Fe|F|Ir|I
Qual planeta é conhecido como o "Planeta Vermelho"?|Marte|Vênus|Mercúrio|Saturno
Qual é o animal terrestre mais rápido?|Guepardo|Leão|Gazela|Cavalo
Qual é a cidade conhecida como a "Cidade Luz"?|Paris|Nova York|Londres|Berlim
Qual é o menor país do mundo?|Vaticano|Mônaco|San Marino|Malta
Quem inventou a lâmpada elétrica?|Thomas Edison|Nikola Tesla|Alexander Graham Bell|James Watt
Qual é o esporte mais popular do mundo?|Futebol|Basquete|Tênis|Críquete
Qual é o autor de "Romeu e Julieta"?|Shakespeare|Machado de Assis|Victor Hugo|Kafka
Qual é o nome do satélite natural da Terra?|Lua|Marte|Sol|Vênus
Qual é a capital da Alemanha?|Berlim|Bonn|Frankfurt|Munique
Em que país as Pirâmides de Gizé estão localizadas?|Egito|México|Peru|Arábia Saudita
Quantos segundos há em um minuto?|60|50|70|80
Qual é a cor do sangue rico em oxigênio?|Vermelho|Azul|Verde|Preto
Quem é o criador do Facebook?|Mark Zuckerberg|Bill Gates|Steve Jobs|Elon Musk
Qual é o nome da galáxia em que vivemos?|Via Láctea|Andrômeda|Triângulo|Sirius
Quem é conhecido como o "Rei do Futebol"?|Pelé|Maradona|Messi|Cristiano Ronaldo
Em que país está localizada a Torre Eiffel?|França|Itália|Alemanha|Espanha
Qual é a capital da Argentina?|Buenos Aires|Mendoza|Rosário|Córdoba
Quem pintou "A Última Ceia"?|Leonardo da Vinci|Michelangelo|Rafael|Donatello
Qual é o órgão do corpo humano responsável por bombear sangue?|Coração|Pulmão|Fígado|Estômago
Qual é o nome do deserto mais quente do mundo?|Saara|Gobi|Atacama|Kalahari
Quantos graus há em um círculo completo?|360|180|90|270
Em que país nasceu Albert Einstein?|Alemanha|Suíça|Áustria|Estados Unidos
Qual é o planeta mais próximo do Sol?|Mercúrio|Vênus|Terra|Marte
Qual é o nome do processo pelo qual as plantas produzem alimento?|Fotossíntese|Respiração|Digestão|Oxidação
Quantos dias há em um ano bissexto?|366|365|364|367
Qual é o nome do maior mamífero do mundo?|Baleia-azul|Elefante|Orca|Hipopótamo
Quem é o autor de "O Pequeno Príncipe"?|Antoine de Saint-Exupéry|J.K. Rowling|Charles Dickens|Ernest Hemingway
Qual é o símbolo químico do ouro?|Au|Ag|G|O
